Headline,Multiplier,Sector,Type
"International Satellite Collision Causes Space Debris Crisis",0.8,World,World
"Unprecedented Solar Flares Disrupt Global Electronics",0.6,World,World
"Alien Contact Established",0.7,World,World
"Global Oil Reserves Drastically Overestimated",0.5,World,World
"Volcanic Eruption Alters Global Climate",0.55,World,World
"Worldwide Cyber Attack Holds Major Cities Hostage",0.5,World,World
"Antibiotic Resistance Surges",0.6,World,World
"Global Coffee Blight Threatens Morning Routines Everywhere",0.9,World,World
"Rapid Polar Ice Melt Raises Sea Levels",0.7,World,World
"World's Major Fisheries Collapse",0.7,World,World
"Global Cloud Storage Leak Exposes Sensitive Information of Billions",0.6,World,World
"Significant Increase in Global Earthquake Activity Baffles Scientists",0.75,World,World
"Superbug Outbreak Resistant to All Known Treatments",0.6,World,World
"Global Internet Bandwidth Shortage Slows Down Worldwide Communication",0.7,World,World
"Ozone Layer Deterioration Accelerates at Alarming Rate",0.65,World,World
"Global Financial Systems Hacked",0.4,World,World
"Artificial Intelligence Achieves Singularity",0.65,World,World
"Massive Solar Storm Approaching",0.6,World,World
"Global Chocolate Shortage Declared After Major Crop Failure",0.9,World,World
"Resurgence of Prehistoric Disease Stumps Modern Medicine",0.7,World,World
"Unknown Cosmic Phenomenon Disturbs Earth's Magnetic Field",0.8,World,World
"Unidentified Flying Objects Confirmed Over Major World Capitals",0.75,World,World
"Worldwide Wheat Crop Failure Threatens Staple Foods",0.6,World,World
"Global Pharmaceutical Crisis as Major Drug Patents are Revoked",0.65,World,World
"World's Major Coral Reefs Declared Dead",0.7,World,World
"Universal Basic Income Implemented Globally",0.85,World,World
"Dark Matter Phenomenon Disturbs Global Weather Patterns",0.8,World,World
"Rare Earth Mineral Shortage Threatens Global Tech Industries",0.7,World,World
"World's Internet Found to be 99% Cat Videos",0.9,World,World
"Accelerated Glacial Melt Floods Freshwater Reservoirs",0.7,World,World
"Global Gold Reserves Found to be Mislabeled Pyrite",0.5,World,World
"Desertification Overtakes Major Agricultural Lands",0.65,World,World
"Major Solar Company Declares Bankruptcy",0.75,World,World
"Global Fossil Fuel Consumption Triples in a Decade",0.55,World,World
"Global Ban on Single-Use Plastics Cripples Several Industries",0.8,World,World
"World's Rainforests Consumed in Wildfires",0.55,World,World
"Meltdown in Global Crypto Markets as Major Vulnerability is Exposed",0.5,World,World
"New Strain of Locusts Ravages Global Crop Productions",0.7,World,World
"Sudden Decline in Pollinators Puts Global Food Chain at Risk",0.65,World,World
"Major Tech Companies Unite to Form Global Super Corporation",0.75,World,World
"Mass Migration as Sea Level Rise Claims First Island Nation",0.8,World,World
"Worldwide Electrical Grids Fail Simultaneously",0.5,World,World
"Magnetic Pole Reversal Begins",0.7,World,World
"Global Helium Shortage Grounds Industries",0.85,World,World
"Synchronized Volcanic Eruptions Cast Pall Over Earth",0.6,World,World
"First Contact: Extraterrestrial Life Demands Earth's WiFi Password",0.8,World,World
"Major Internet Companies Merge",0.7,World,World
"Global Sand Shortage Threatens Construction Industry",0.75,World,World
"Declassified Report Reveals Existence of Parallel Earth",0.8,World,World
"Pervasive AI Rebellion Throws World into Digital Chaos",0.6,World,World
"Time Anomaly Discovered",0.7,World,World
"Global Caffeine Shortage Leads to Widespread Panic",0.85,World,World
"Simultaneous Earthquakes Shake Every Continent",0.65,World,World
"Rise in Sea Monsters Disrupts Global Shipping Lanes",0.75,World,World
"Sudden Shift in Earth's Orbit Mystifies Scientists",0.75,World,World
"Global Grid Failure Leaves Billions Without Power",0.5,World,World
"World Governments Reveal We've Been in a Simulation",0.8,World,World
